id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
670467572750605957,"1BR+BALCONY NEXT TO SCOTIABANK ARENA/CN, UNION ST",469354109,Jennifer,,Waterfront Communities-The Island,43.6424,-79.38053,Entire home/apt,280,30,3,2024-05-04,0.14,1,160,2,
670479102029650387,Lovely King Size bedroom for rent.,433194730,Cynthia Chinwe,,Black Creek,43.75867,-79.5177,Private room,85,1,24,2024-07-19,0.93,3,111,6,STR-2202-HKMKVK
670498325062370362,Bunkbed Room 3 With Private Bathroom,458917686,Youjuan,,Pleasant View,43.77908,-79.32865,Private room,59,1,31,2024-09-01,1.21,3,358,5,STR-2205-HLDBHK
670536816002510180,Fun home near Pacific Mall. Shopping & restaurants,469369279,Rohit,,Milliken,43.82604,-79.28488,Entire home/apt,589,28,24,2023-04-25,0.92,1,90,0,STR-2207-GYSKVH
670552628563510097,Private SharedCondo-Lakeshore…Exquisite 1Bd + 1Bth,190453366,Awele Anthonia,,Alderwood,43.60191,-79.5463,Private room,150,1,11,2023-04-13,0.44,1,247,0,STR-2207-FXMRVD
670614159338397029,Raised bungalo house,469383296,Jacinth,,Humbermede,43.74397,-79.55971,Entire home/apt,150,2,3,2023-01-22,0.14,1,339,0,STR-2207-GYTRVH
670771726360672619,Lovely 1 bedroom new  apartment,202338294,Andy,,High Park North,43.65804,-79.45194,Entire home/apt,74,32,2,2023-03-04,0.08,9,308,0,
670875218132205503,3-bedroom home in Scarborough,78674600,Xiao,,Dorset Park,43.75444,-79.27771,Entire home/apt,173,28,19,2024-03-05,0.75,7,87,2,STR-2110-HHMHHJ
670894677397635774,Converted Two Story Dance Studio With Terrace,469453758,Thomas,,University,43.6631316,-79.40292989999999,Entire home/apt,436,2,61,2024-08-10,2.57,1,292,26,STR-2207-FYTRVD
670910538681537499,"Liberty's SunFilled Suite, Quick access to King St",169919320,Reza,,Niagara,43.64044,-79.41567,Entire home/apt,300,28,0,,,1,365,0,STR-2207-FMLPHC
670961867540573500,Garden Suite in Brass House,39527808,Sachin,,Yonge-St.Clair,43.69058,-79.39655,Entire home/apt,317,3,16,2024-09-01,2.89,2,312,16,STR-2401-HFKDVW
671238122408278370,Private Bedroom with Queen Bed & Free Parking,288535344,Tarinur,,West Hill,43.77284,-79.17503,Private room,,3,63,2024-07-08,2.45,2,0,18,STR-2207-FXKDVD
671285390845683243,Downtown Townhouse Ground Floor Apartment,223034489,Casey,,Kensington-Chinatown,43.65345,-79.3935,Entire home/apt,90,28,6,2024-05-22,0.25,2,249,2,
671665743255795891,Cheerful private room,448937904,Liwliwa,,Downsview-Roding-CFB,43.73694,-79.48522,Private room,45,28,2,2023-07-13,0.09,1,89,0,
671679557833603240,Central and bright large studio condo with patio,31714972,Matthew,,Waterfront Communities-The Island,43.641427114148485,-79.4008316966399,Entire home/apt,,28,30,2024-03-05,1.22,1,2,9,STR-2207-FVDHHD
671684874616353273,Modern 3-BR Condo in DT Toronto,785826,Sky View,,Bay Street Corridor,43.64868,-79.38647,Entire home/apt,265,28,1,2024-07-17,0.58,101,128,1,
671688621832621513,Central 1 Bedroom Condo in Toronto,468919459,Katarzyna,,Casa Loma,43.68189,-79.41725,Entire home/apt,200,28,4,2022-08-13,0.15,1,365,0,STR-2206-JFLKVM
671703209971333929,Cozy 1+1-BR Condo in DT Toronto,785826,Sky View,,Waterfront Communities-The Island,43.64894,-79.38798,Entire home/apt,130,28,0,,,101,122,0,
671924472118418218,Modern Suite near Pearson Airport. Sleeps 1-4,194603769,Zev,,Eringate-Centennial-West Deane,43.66707,-79.58518,Entire home/apt,129,28,48,2024-08-08,1.93,1,364,1,STR-2207-GDCBHF
671941817462821412,"Cozy Corners

one bedroom 
ground floor",1451213,Leslie Jill,,South Parkdale,43.6336441,-79.43106279999999,Entire home/apt,300,1,39,2024-08-25,1.51,1,127,19,STR-2207-HHRDVJ
